,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Area.BlkSub,Height,IR,S.N,Run.Cmpd,runDate,type,SampID,replicate,inj.vol.Norm.Area,d4-Tryptamine.Norm.Area,d-IAA.Norm.Area,D-Phenylalanine.Norm.Area,D-Tryptophan.Norm.Area,Vitamin B1_IS.Norm.Area,Vitamin B2_IS.Norm.Area,D8-Arachidonic Acid.Norm.Area,D5-EPA.Norm.Area,D5-DHA.Norm.Area,D6-Tocopherol.Norm.Area,D3-Pyridoxal.Norm.Area,PooPlusModel.IS,PooPlusModel
49,170518_Poo_TruePoo_Full1,Kynurenine,1.37,NA,2299207,1612198,481005,1.552305767,4.502961023,170518_Poo_TruePoo_Full1 Kynurenine,170518,Poo,TruePoo,Full1,NA,2145594.439,2806584.014,3110156.752,3081582.187,2333496.352,2883733.989,13566100.75,22666005.49,17026196.83,2158103.332,2453432.56,d-IAA.Norm.Area,2806584.014
50,170518_Poo_TruePoo_Full2,Kynurenine,1.365,NA,3070935,2383926,600480,1.676957429,4.34744026,170518_Poo_TruePoo_Full2 Kynurenine,170518,Poo,TruePoo,Full2,NA,3054383.173,2340764.455,3795039.475,3442965.278,3059758.878,3000503.087,2890166.176,3438839.942,2942825.66,1947272.107,3418423.742,d-IAA.Norm.Area,2340764.455
51,170518_Poo_TruePoo_Full3,Kynurenine,1.37,NA,3032163,4383602,1177260,1.145762782,20.74452418,170518_Poo_TruePoo_Full3 Kynurenine,170518,Poo,TruePoo,Full3,NA,2595263.518,2308849.251,3095977.835,3171376.657,3056766.175,2738108.78,3820369.09,4960435.635,4168515.144,3378377.514,3606981.778,d-IAA.Norm.Area,2308849.251
52,170518_Poo_TruePoo_Half1,Kynurenine,1.37,comparable to blkbad S/N,1426019,739010,265115,1.425310621,3.544122816,170518_Poo_TruePoo_Half1 Kynurenine,170518,Poo,TruePoo,Half1,NA,1853318.981,3094204.836,3322765.425,3737539.196,1665293.02,3800950.195,11500057.7,15236562.53,14573890.04,2499202.805,2281831.752,d-IAA.Norm.Area,3094204.836
53,170518_Poo_TruePoo_Half2,Kynurenine,1.36,comparable to blk,1837048,1150039,310502,1.529607583,4.452734299,170518_Poo_TruePoo_Half2 Kynurenine,170518,Poo,TruePoo,Half2,NA,2857599.14,2751921.915,4345922.115,4266862.415,2178472.103,4100426.404,1717456.55,1775724.53,1669344.867,1856137.721,3200009.733,d-IAA.Norm.Area,2751921.915
54,170518_Poo_TruePoo_Half3,Kynurenine,1.375,comparable to blkbad S/N,1635981,948972,354765,1.724503198,3.821420626,170518_Poo_TruePoo_Half3 Kynurenine,170518,Poo,TruePoo,Half3,NA,2292630.671,2579872.701,3406086.328,3412314.147,1944357.228,3395527.407,1818722.211,2155288.104,1969634.141,1671216.631,3250286.292,d-IAA.Norm.Area,2579872.701
55,170518_Smp_EtACpH2_1,Kynurenine,1.255,Bad IRcomparable to blk,NA,-629842,20865,6.375975909,13.62522085,170518_Smp_EtACpH2_1 Kynurenine,170518,Smp,EtACpH2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d-IAA.Norm.Area,NA
56,170518_Smp_EtACpH2_2,Kynurenine,1.305,Bad IRcomparable to blkbad S/N,NA,-673308,7857,0.076567992,1.130942141,170518_Smp_EtACpH2_2 Kynurenine,170518,Smp,EtACpH2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d-IAA.Norm.Area,NA
57,170518_Smp_EtACpH2_3,Kynurenine,1.2,comparable to blkbad S/N,NA,-655863,8264,1.3342758,1.498009306,170518_Smp_EtACpH2_3 Kynurenine,170518,Smp,EtACpH2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d-IAA.Norm.Area,NA
58,170518_Smp_EtACpH5_1,Kynurenine,1.17,comparable to blkbad S/N,NA,-614725,24079,1.112643537,3.472684979,170518_Smp_EtACpH5_1 Kynurenine,170518,Smp,EtACpH5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d-IAA.Norm.Area,NA
59,170518_Smp_EtACpH5_2,Kynurenine,1.33,comparable to blkbad S/N,NA,-640858,12935,1.975811285,1.875165927,170518_Smp_EtACpH5_2 Kynurenine,170518,Smp,EtACpH5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d-IAA.Norm.Area,NA
60,170518_Smp_EtACpH5_3,Kynurenine,1.305,Bad IRcomparable to blkbad S/N,NA,-651889,16754,0.996170756,1.821635785,170518_Smp_EtACpH5_3 Kynurenine,170518,Smp,EtACpH5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d-IAA.Norm.Area,NA
61,170518_Smp_EtACpH8_1,Kynurenine,1.305,Bad IRcomparable to blkbad S/N,NA,-661444,6718,0.591672838,2.028234726,170518_Smp_EtACpH8_1 Kynurenine,170518,Smp,EtACpH8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d-IAA.Norm.Area,NA
62,170518_Smp_EtACpH8_2,Kynurenine,1.32,Bad IRcomparable to blkbad S/N,NA,-639673,12709,2.879493886,1.664607436,170518_Smp_EtACpH8_2 Kynurenine,170518,Smp,EtACpH8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d-IAA.Norm.Area,NA
63,170518_Smp_EtACpH8_3,Kynurenine,1.245,Bad IRcomparable to blkbad S/N,NA,-656078,11971,8.603894298,2.462389485,170518_Smp_EtACpH8_3 Kynurenine,170518,Smp,EtACpH8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d-IAA.Norm.Area,NA
64,170518_Smp_SPEpH2_1,Kynurenine,1.32,NA,NA,4883252,1620583,1.359839024,24.51075028,170518_Smp_SPEpH2_1 Kynurenine,170518,Smp,SPEpH2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d-IAA.Norm.Area,NA
65,170518_Smp_SPEpH2_2,Kynurenine,1.375,NA,11563575,10876566,2243979,1.589942433,5.481715718,170518_Smp_SPEpH2_2 Kynurenine,170518,Smp,SPEpH2,2,NA,13786076.34,12636858.58,13037401.88,11153306.46,9383157.127,10408712.52,6103161.128,6115611.679,6365412.577,9290103.905,21852687.94,d-IAA.Norm.Area,12636858.58
66,170518_Smp_SPEpH2_3,Kynurenine,1.38,NA,4034318,3347309,776652,1.462056924,4.053183567,170518_Smp_SPEpH2_3 Kynurenine,170518,Smp,SPEpH2,3,NA,5153316.203,5650008.364,5428136.429,4572002.98,3591933.269,3877241.997,2577123.971,2308925.219,2445606.584,5709916,8511063.401,d-IAA.Norm.Area,5650008.364
67,170518_Smp_SPEpH5_1,Kynurenine,1.375,NA,8405386,7718377,1560413,1.518192731,5.286773781,170518_Smp_SPEpH5_1 Kynurenine,170518,Smp,SPEpH5,1,NA,11725033.66,10863559,10796487.04,9245238.924,7309527.331,7428476.707,5394818.057,4777704.75,4753670.614,10609800.85,11645569.83,d-IAA.Norm.Area,10863559
68,170518_Smp_SPEpH5_2,Kynurenine,1.375,Bad IRcomparable to blkbad S/N,NA,-265823,103931,0.936047933,1.500992622,170518_Smp_SPEpH5_2 Kynurenine,170518,Smp,SPEpH5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d-IAA.Norm.Area,NA
69,170518_Smp_SPEpH5_3,Kynurenine,1.37,NA,3026214,2209991,561146,1.283778963,3.402502517,170518_Smp_SPEpH5_3 Kynurenine,170518,Smp,SPEpH5,3,NA,3790306.677,3561942.98,3082811.501,2824344.218,2112643.785,2628071.62,1829849.406,1713728.365,1730956.366,2876919.85,4298944.457,d-IAA.Norm.Area,3561942.98
